Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups,CAL CAT
All-Bran,K,C,70,4,1,260,9,7,5,3,320,25,1,0.33,A
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,3,330,25,1,0.5,A
Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,3,90,25,1,-1,A
Raisin Squares,K,C,90,2,0,0,2,15,6,3,110,25,1,0.5,A
100% Bran,N,C,70,4,1,130,10,5,6,3,280,25,1,0.33,A
Shredded Wheat,N,C,80,2,0,0,3,16,0,1,95,0,0.83,-1,A
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,1,140,0,1,0.67,A
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,1,120,0,1,0.67,A
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,2,90,25,1,-1,A
Bran Flakes,P,C,90,3,0,210,5,13,5,3,190,25,1,0.67,A
Puffed Rice,Q,C,50,1,0,0,0,13,0,3,15,0,0.5,1,A
Puffed Wheat,Q,C,50,2,0,0,1,10,0,3,50,0,0.5,-1,A
Bran Chex,R,C,90,2,1,200,4,15,6,1,125,25,1,0.67,A
