Cereal,Manufacturer,Type,Calories,Protein,Fat,Sodium,Fiber,Carbohydrates,Sugars,Shelf,Potassium,Vitamins,Weight,Cups,CARB CAT
Basic 4,G,C,130,3,2,210,2,18,8,3,100,25,1.33,0.75,B
Cheerios,G,C,110,6,2,290,2,17,1,1,105,25,1,1.25,B
Kix,G,C,110,2,1,260,0,21,3,2,40,25,1,1.5,B
Total Corn Flakes,G,C,110,2,1,200,0,21,3,3,35,100,1,1,B
Total Whole Grain,G,C,100,3,1,200,3,16,3,3,110,100,1,1,B
Triples,G,C,110,2,1,250,0,21,3,3,60,25,1,0.75,B
Wheaties,G,C,100,3,1,200,3,17,3,1,110,25,1,1,B
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,1,60,25,1,0.75,B
Corn Flakes,K,C,100,2,0,290,1,21,2,1,35,25,1,1,B
Crispix,K,C,110,2,0,220,1,21,3,3,30,25,1,1,B
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1,17,6,3,60,100,1,-1,B
Just Right Fruit & Nut,K,C,140,3,1,170,2,20,9,3,95,100,1.3,0.75,B
Mueslix Crispy Blend,K,C,160,3,2,150,3,17,13,3,160,25,1.5,0.67,B
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3,21,7,3,130,25,1.33,0.67,B
Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,3,90,25,1,-1,B
Product 19,K,C,100,3,0,320,1,20,3,3,45,100,1,1,B
Rice Krispies,K,C,110,2,0,290,0,22,3,1,35,25,1,1,B
Special K,K,C,110,6,0,230,1,16,3,1,55,25,1,1,B
Shredded Wheat,N,C,80,2,0,0,3,16,0,1,95,0,0.83,-1,B
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,1,140,0,1,0.67,B
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,1,120,0,1,0.67,B
Grape-Nuts,P,C,110,3,0,170,3,17,3,3,90,25,1,0.25,B
Corn Chex,R,C,110,2,0,280,0,22,3,1,25,25,1,1,B
Double Chex,R,C,100,2,0,190,1,18,5,3,80,25,1,0.75,B
"Muesli Raisins, Dates, & Almonds",R,C,150,4,3,95,3,16,11,3,170,25,-1,-1,B
"Muesli Raisins, Peaches, & Pecans",R,C,150,4,3,150,3,16,11,3,170,25,-1,-1,B
Rice Chex,R,C,110,1,0,240,0,23,2,1,30,25,1,1.13,B
Wheat Chex,R,C,100,3,1,230,3,17,3,1,115,25,1,0.67,B
Maypo,A,H,100,4,1,0,0,16,3,2,95,25,1,-1,B
Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,2,-1,0,1,1,B
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,1,110,0,1,0.67,B
